,Station,Latitude,Longitude
289,KO.SNOP,42.02,35.21
290,KO.SPNC,40.687,30.313
291,KO.SULT,38.2,33.52
292,KO.SVAN,38.145,41.12
293,KO.SVRC,38.38,39.31
294,KO.SVRH,39.45,31.52
295,KO.SVSK,39.92,36.99
296,KO.TAHT,36.3755,36.1855
297,KO.TASB,39.98,44.24
298,KO.TOKT,40.32,36.54
299,KO.TVSB,39.45,29.46
300,KO.URFA,37.441,38.8213
301,KO.VANB,38.51,43.41
302,KO.VRTB,39.1603,41.4558
303,KO.YAYX,38.94,33.81
304,KO.YEDI,39.44,40.54
305,KO.YER,37.14,28.29
306,KO.YESY,37.78,33.74
307,KO.YLV,40.57,29.37
308,KO.YOZ,39.7398,35.3406
309,KR.ARK,41.8,71.97
310,KR.BTK,40.06,70.82
311,KR.DRK,39.4833,71.8044
312,KW.MIB,29.8,47.34
313,KZ.ABKAR,49.2558,59.9431
314,KZ.KKAR,43.1,70.51
315,MN.KEG,29.9275,31.8292
316,OM.MDH,25.3,56.3
317,RO.BUR31,47.64,25.2
318,SA.AFFS,24.5554,42.4823
319,SA.AKWA,17.330370000000002,42.73983
320,SA.AMGES,18.70239,41.5166
321,SA.ANY02,26.109,40.02855
322,SA.ANY03,27.3838,41.7891
323,SA.ANY04,17.365,42.681
324,SA.ANY05,18.83845,42.64525
325,SA.ANY06,20.3034,44.5712
326,SA.ANY07,23.836,47.681
327,SA.ANY08,22.9273,49.4614
328,SA.ARSS,25.8274,43.1541
329,SA.ASYS,27.5046,44.3412
330,SA.BAHS,19.9699,41.5993
331,SA.BDAS,28.36715,34.94324
332,SA.BESHS,17.3651,42.8395
333,SA.BIDS,26.8669,36.9575
334,SA.BJDH,24.09,43.397
335,SA.BLJS,19.9571,41.6051
336,SA.BOQS,25.8687,49.3757
337,SA.BTHS,24.0461,50.846
338,SA.DBAS,27.21,35.97
339,SA.DESA,27.506,36.164
340,SA.DJNS,17.7014,43.5449
341,SA.DRBS,17.8281,42.301
342,SA.DWDS,24.54035,44.83528
343,SA.ENMS,19.12045,42.3869
344,SA.EQ001,38.29,20.31
345,SA.EQ002,38.275,20.365
346,SA.EQ003,37.9608,21.4486
347,SA.EQ004,36.632,21.475
348,SA.EQ005,36.5112,21.6591
349,SA.EQ006,36.2985,21.7799
350,SA.EQ007,36.3843,21.8324
351,SA.EQ008,36.29403,21.804270000000002
352,SA.EQ009,35.52,23.28
353,SA.EQ010,34.397,25.001
354,SA.EQ011,34.7922,25.3423
355,SA.EQ012,40.27,25.36
356,SA.EQ013,39.656,25.54
357,SA.EQ014,35.7317,26.5466
358,SA.EQ015,35.9232,27.804
359,SA.EQ016,35.3441,28.4806
360,SA.EQ017,36.42,28.88
361,SA.EQ018,35.604,28.919
362,SA.EQ019,39.1277,29.0701
363,SA.EQ020,36.02,31.32
364,SA.EQ021,39.4392,33.109
365,SA.EQ022,39.4336,33.1531
366,SA.EQ023,25.2582,37.7639
367,SA.EQ024,39.6655,38.6722
368,SA.EQ025,38.76995,40.05295
369,SA.EQ026,38.7515,40.0619
370,SA.EQ027,16.707,40.831
371,SA.EQ028,42.558,40.839
372,SA.EQ029,13.2615,41.6938
373,SA.EQ030,13.35015,41.7141
374,SA.EQ031,38.4207,43.3376
375,SA.EQ032,38.77065,43.534
376,SA.EQ033,42.5829,43.4523
377,SA.EQ034,38.8119,43.6215
378,SA.EQ035,11.9398,43.7038
379,SA.EQ036,34.48,45.5608
380,SA.EQ037,34.41655,45.60115
381,SA.EQ038,12.09,45.9564
382,SA.EQ039,43.4213,46.3368
383,SA.EQ040,41.721,46.389
384,SA.EQ041,38.418,46.62
385,SA.EQ042,41.549,46.789
386,SA.EQ043,38.3735,46.723
387,SA.EQ044,32.3216,47.3814
388,SA.EQ045,32.64,47.79667
389,SA.EQ046,32.535,47.8
390,SA.EQ047,32.57,47.81
391,SA.EQ048,29.49,51.41
392,SA.EQ049,28.428,51.593
393,SA.EQ050,29.57185,51.55235
394,SA.EQ051,28.0598,52.5456
395,SA.EQ052,26.42,53.51
396,SA.EQ053,14.553,53.892
397,SA.EQ054,35.486,54.4967
398,SA.EQ055,26.7723,55.8332
399,SA.EQ056,9.963,57.203
400,SA.EQ057,11.208,57.478
401,SA.EQ058,26.404,57.522
402,SA.EQ059,13.0894,57.5871
403,SA.EQ060,27.9499,57.6566
404,SA.EQ061,26.716,57.765
405,SA.EQ062,26.556,57.822
406,SA.EQ063,26.548,57.926
407,SA.EQ064,12.346,58.1609
408,SA.EQ065,28.151,59.052
409,SA.EQ066,28.223370000000003,59.084669999999996
410,SA.EQ067,35.2677,59.3834
411,SA.EQ068,7.392,59.559
412,SA.EWJHS,26.1572,36.655
413,SA.FDAS,22.00313,40.12073
414,SA.FRAS,21.0584,40.5182
415,SA.FRJS,22.5907,39.3638
416,SA.FRSS,16.7388,42.1146
417,SA.FRSS2,16.852,41.794
418,SA.GHASH,22.7175,40.2299
419,SA.HAJR,22.8992,39.671
420,SA.HANO,31.389,38.331
421,SA.HAQS,29.17785,34.99535
422,SA.HAST,22.933,44.84
423,SA.HBTS,28.734,46.051
424,SA.HIL01,25.829,41.9863
425,SA.HIL02,26.059,40.897
426,SA.HIL03,27.25341,40.7954
427,SA.HIL04,27.76039,42.7616
428,SA.HQLS,29.3002,35.0622
429,SA.HRML,22.008,45.092
430,SA.JAZS,17.0684,42.9174
431,SA.JEDS,21.7197,39.4161
432,SA.JLOS,28.7352,35.4915
433,SA.JOFS,29.414859999999997,38.60824
434,SA.JURS,21.800929999999997,39.8301
435,SA.KBR01,25.419970000000003,40.1104
436,SA.KBR02,25.4012,40.27495
437,SA.KBR03,25.93594,39.87538
438,SA.KBR04,25.9809,40.2794
439,SA.KBR05,25.5735,40.3079
440,SA.KBR07,25.29737,39.54387
441,SA.KBR08,25.71953,39.47716
442,SA.KBR09,26.03439,39.665490000000005
443,SA.KBR10,25.126,39.935
444,SA.KBRS,25.7885,39.2644
445,SA.KFJS,28.1866,47.9416
446,SA.KHLS,22.0497,39.2971
447,SA.KHLS2,22.2622,39.5181
448,SA.KNGHS,18.293,43.4962
449,SA.KRABS,28.1014,35.255
450,SA.LBNS,21.02585,39.7914
451,SA.LNY01,25.21339,37.8503
452,SA.LNY02,25.25003,37.774609999999996
453,SA.LNY03,25.3905,37.75795
454,SA.LNY04,25.248279999999998,37.64678
455,SA.LNY05,25.046,37.6953
456,SA.LNY06,25.29985,37.745779999999996
457,SA.LNY08,25.033,37.85
458,SA.LNY09,25.4011,37.6616
459,SA.LNY10,25.27,37.862
460,SA.LNY11,25.2888,37.78435
461,SA.LNY16,25.3503,37.5988
462,SA.LNYS,25.0815,37.9439
463,SA.LTHS,20.2757,40.4111
464,SA.LYLS,22.0385,47.2448
465,SA.MDRK2,22.2945,40.2614
466,SA.MDRS,21.7682,39.84625
467,SA.MJMS,26.04707,45.65772
468,SA.MQLS,26.631,47.45
469,SA.MWLHS,27.70164,35.65015
470,SA.NAMS,19.1702,42.2021
471,SA.NDEBA,27.465,35.654
472,SA.NHRD,24.722,49.015
